Designator,Footprint,Quantity,Value,LCSC Part #
BRD1,128x64OLED,1,SSD1306,
"C1, C2, C3, C4, C5, C6, C7, C8",1206,8,10nF,
C9,1206,1,100nF_0603_16V,
J1,Jack_3.5mm_CUI_SJ1-3525N_Horizontal,1,AudioJack3,
"R1, R2",R_0603,2,220R_0603,
"R3, R4, R5, R6, R7, R8, R9",R_0603,7,10k_0402,
"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8",Potentiometer_RV09,8,10k,
SW1,SW_PUSH_6mm,1,ASSIGN,
SW2,SW_PUSH_6mm,1,ENTER,
SW3,SW_PUSH_6mm,1,PREV,
SW4,SW_PUSH_6mm,1,NEXT,
SW5,SW_Push_1P1T_NO_CK_KMR2,1,RESET,
U1,SOIC-24W_7.5x15.4mm_P1.27mm,1,CD74HC4067M,
U2,ProMicro,1,ProMicro,
