Designator,Mid X,Mid Y,Rotation,Layer
C1,46.75,-61.0,0.0,top
C2,66.75,-61.0,0.0,top
C3,86.475,-61.25,0.0,top
C4,106.0,-61.25,0.0,top
C5,39.25,-77.0,0.0,top
C6,59.0,-77.25,0.0,top
C7,78.725,-77.0,0.0,top
C8,98.725,-77.25,0.0,top
C9,67.75,-29.75,180.0,top
R1,39.75,-33.5,270.0,top
R2,50.0,-33.4,270.0,top
R3,134.4,-53.1,0.0,top
R4,141.4,-53.1,180.0,top
R5,141.4,-72.1,180.0,top
R6,134.4,-72.1,0.0,top
R7,81.75,-28.25,180.0,top
R8,129.0,-24.5,0.0,top
R9,129.0,-27.5,0.0,top
SW1,127.91,-50.83,0.0,top
SW2,147.91,-50.83,0.0,top
SW3,127.91,-69.83,0.0,top
SW4,147.91,-69.83,0.0,top
SW5,22.75,-55.0,0.0,top
U1,78.0,-35.25,0.0,top
