Designator,Mid X,Mid Y,Rotation,Layer
C1,57.75,-73.5,0.0,top
C2,77.75,-73.5,0.0,top
C3,97.475,-73.75,0.0,top
C4,117.0,-73.75,0.0,top
C5,50.25,-89.5,0.0,top
C6,70.0,-89.75,0.0,top
C7,89.725,-89.5,0.0,top
C8,109.725,-89.75,0.0,top
C9,78.75,-42.25,180.0,top
J1,55.75,-37.625,180.0,top
R1,50.75,-46.0,270.0,top
R2,61.0,-45.9,270.0,top
R3,145.4,-65.6,0.0,top
R4,152.4,-65.6,180.0,top
R5,152.4,-84.6,180.0,top
R6,145.4,-84.6,0.0,top
R7,92.75,-40.75,180.0,top
R8,140.0,-37.0,0.0,top
R9,140.0,-40.0,0.0,top
SW1,138.91,-63.33,0.0,top
SW2,158.91,-63.33,0.0,top
SW3,138.91,-82.33,0.0,top
SW4,158.91,-82.33,0.0,top
U1,89.0,-47.75,0.0,top
